time,Pyro [uV],IR_S_u
2023-06-14 01:10:54-05:00,31,0.0
2023-06-14 01:11:00-05:00,31,0.0
2023-06-14 01:11:06-05:00,31,0.0
2023-06-14 01:11:12-05:00,31,0.0
2023-06-14 01:11:18-05:00,31,0.0
2023-06-14 01:11:24-05:00,31,0.0
2023-06-14 01:11:30-05:00,31,0.0
2023-06-14 01:11:36-05:00,31,0.0
2023-06-14 01:11:42-05:00,31,0.0
2023-06-14 01:11:48-05:00,31,0.0
2023-06-14 01:11:54-05:00,31,0.0
2023-06-14 01:12:00-05:00,47,0.0
2023-06-14 01:12:06-05:00,31,0.0
2023-06-14 01:12:12-05:00,31,0.0
2023-06-14 01:12:18-05:00,31,0.0
2023-06-14 01:12:24-05:00,31,0.0
2023-06-14 01:12:30-05:00,31,0.0
2023-06-14 01:12:36-05:00,31,0.0
2023-06-14 01:12:42-05:00,31,0.0
2023-06-14 01:12:48-05:00,31,0.0
2023-06-14 01:12:54-05:00,31,0.0
2023-06-14 01:13:00-05:00,31,0.0
2023-06-14 01:13:06-05:00,31,0.0
2023-06-14 01:13:12-05:00,31,0.0
2023-06-14 01:13:18-05:00,31,0.0
2023-06-14 01:13:24-05:00,31,0.0
2023-06-14 01:13:30-05:00,31,0.0
2023-06-14 01:13:36-05:00,31,0.0
2023-06-14 01:13:42-05:00,31,0.0
2023-06-14 01:13:48-05:00,31,0.0
2023-06-14 01:13:54-05:00,31,0.0
2023-06-14 01:14:00-05:00,31,0.0
2023-06-14 01:14:06-05:00,31,0.0
2023-06-14 01:14:12-05:00,31,0.0
2023-06-14 01:14:18-05:00,31,0.0
2023-06-14 01:14:24-05:00,31,0.0
2023-06-14 01:14:30-05:00,31,0.0
2023-06-14 01:14:36-05:00,31,0.0
2023-06-14 01:14:42-05:00,31,0.0
2023-06-14 01:14:48-05:00,31,0.0
2023-06-14 01:14:54-05:00,31,0.0
2023-06-14 01:15:00-05:00,31,0.0
2023-06-14 01:15:06-05:00,47,0.0
2023-06-14 01:15:12-05:00,47,0.0
2023-06-14 01:15:18-05:00,31,0.0
2023-06-14 01:15:24-05:00,31,0.0
2023-06-14 01:15:30-05:00,31,0.0
2023-06-14 01:15:36-05:00,31,0.0
2023-06-14 01:15:42-05:00,31,0.0
2023-06-14 01:15:48-05:00,31,0.0
2023-06-14 01:15:54-05:00,31,0.0
2023-06-14 01:16:00-05:00,31,0.0
2023-06-14 01:16:06-05:00,31,0.0
2023-06-14 01:16:12-05:00,31,0.0
2023-06-14 01:16:18-05:00,31,0.0
2023-06-14 01:16:24-05:00,31,0.0
2023-06-14 01:16:30-05:00,31,0.0
2023-06-14 01:16:36-05:00,31,0.0
2023-06-14 01:16:42-05:00,31,0.0
2023-06-14 01:16:48-05:00,31,0.0
2023-06-14 01:16:54-05:00,31,0.0
2023-06-14 01:17:00-05:00,31,0.0
2023-06-14 01:17:06-05:00,31,0.0
2023-06-14 01:17:12-05:00,31,0.0
2023-06-14 01:17:18-05:00,31,0.0
2023-06-14 01:17:24-05:00,31,0.0
2023-06-14 01:17:30-05:00,31,0.0
2023-06-14 01:17:36-05:00,31,0.0
2023-06-14 01:17:42-05:00,31,0.0
2023-06-14 01:17:48-05:00,31,0.0
2023-06-14 01:17:54-05:00,31,0.0
2023-06-14 01:18:00-05:00,31,0.0
2023-06-14 01:18:06-05:00,31,0.0
2023-06-14 01:18:12-05:00,31,0.0
2023-06-14 01:18:18-05:00,31,0.0
2023-06-14 01:18:24-05:00,31,0.0
2023-06-14 01:18:30-05:00,31,0.0
2023-06-14 01:18:36-05:00,31,0.0
